节日, 关键信息
"春节", "红包; 烟花; 龙舞; 春联; 饺子; 舞狮; 家庭团聚; 祖先敬拜; 新年钟声; 桃花; 灯笼; 年糕; 福字; 拜年; 红色; 火锅; 春晚; 爆竹; 传统服饰; 挂画"
"元宵节", "汤圆; 花灯; 灯谜; 赏月; 元宵; 灯会; 江南水乡; 花市; 猜灯谜; 民间艺术; 舞龙; 舞狮; 糖人; 打太极; 鞭炮; 欢乐; 团圆; 传统习俗; 灯笼行列; 家宴"
"清明节", "扫墓; 植树; 春游; 踏青; 放风筝; 柳枝; 寒食节; 怀古; 祭祀; 野餐; 春天; 花朵; 思念; 亲情; 祖先纪念; 传统文化; 清明粿; 自然美; 宁静; 祭拜"
"端午节", "粽子; 龙舟; 艾草; 香囊; 屈原; 赛龙舟; 防疫; 长生锁; 五毒; 雄黄酒; 悬挂菖蒲; 体育活动; 粽叶香; 传统诗歌; 健康; 家庭; 粽香; 夏日; 习俗; 民间故事"
"中秋节", "月饼; 赏月; 月亮; 兔子; 嫦娥; 家庭团聚; 灯笼; 祭月; 拜月; 月圆; 桂花; 秋高气爽; 美食; 传说故事; 祖先敬拜; 艺术; 月光; 感恩; 团圆饭; 感情深厚"
"重阳节", "登高; 菊花; 老人节; 赏菊; 饮菊花酒; 健康长寿; 传统诗词; 家庭聚会; 感恩; 登山; 秋色; 户外活动; 九九; 祖先纪念; 敬老尊贤; 秋天的美; 祭祀; 亲情; 感慨岁月; 自然之美"
"七夕节", "牛郎织女; 鹊桥; 爱情故事; 传统习俗; 祈愿; 爱情; 星星; 情人节; 仙女; 牛星; 织女星; 民间传说; 情诗; 传统礼仪; 浪漫; 神话; 恋人; 七夕晚会; 情侣约会; 牵手"
"寒食节", "清明前夕; 祭祀; 禁火; 冷食; 扫墓; 怀古; 避火; 民间习俗; 历史纪念; 家族聚会; 寒食粿; 祖先; 春日; 悼念; 传统食品; 默哀; 祭扫; 文化传承; 自然景观; 亲情"
"腊八节", "腊八粥; 传统习俗; 预祝丰收; 祈福; 佛教节日; 温暖; 家庭团聚; 腊月; 习俗庆祝; 糯米; 枣子; 豆类; 香料; 烹饪; 冬季; 八宝粥; 祖先纪念; 传统食品; 文化传承; 慈善"

